,CAISO_Demand_MWh,CAISO_VRE_MWh,Hour,Month,Time_Elapsed,delta_VRE,delta_Demand,delta_CO2,delta_SO2,delta_NOx
2022-01-03 09:00:00,25975,1344.560086,9,1,57,989.940434,-509.0,-897684.5729259523,-3.6451759643445882,-87.37838919908984
2022-01-03 10:00:00,24974,1837.545038,10,1,58,492.984952,-1001.0,-347811.6134301382,14.97080122701783,-17.26507432546748
2022-01-03 11:00:00,24227,1852.30938,11,1,59,14.764341999999942,-747.0,-122727.83058782388,-12.342396791763008,16.0847809006832
2022-01-03 12:00:00,23627,1821.633976,12,1,60,-30.675403999999844,-600.0,127416.07393943565,19.85644972950078,78.75210331242067
2022-01-03 13:00:00,23753,1836.110458,13,1,61,14.476482000000033,126.0,158303.1866465793,-5.789706368590686,15.761708173095371
2022-01-03 14:00:00,23901,1802.763714,14,1,62,-33.34674400000017,148.0,424397.17527979286,4.160185492212605,94.74236505340514
2022-01-03 15:00:00,24361,1637.3088060000002,15,1,63,-165.4549079999997,460.0,846790.6465554787,-17.4822254272203,138.82039038893288
2022-01-03 16:00:00,25277,1090.095308,16,1,64,-547.2134980000003,916.0,1493576.896518821,123.79415611971615,171.1750756676223
2022-01-03 17:00:00,27104,477.144556,17,1,65,-612.950752,1827.0,-177099.1954067517,2.9643188742144275,157.58131009386716
2022-01-03 18:00:00,29018,396.624066,18,1,66,-80.52049,1914.0,-341451.8188168993,-9.293923556572338,-7.053535697464213
2022-01-03 19:00:00,29062,418.937798,19,1,67,22.31373199999996,44.0,-82159.83614868112,-0.4536400376699703,216.95041864264908
2022-01-03 20:00:00,28544,400.905046,20,1,68,-18.03275199999996,-518.0,-364217.3532040408,-35.38424120185624,-104.90665504710569
2022-01-03 21:00:00,27744,422.04688,21,1,69,21.14183399999996,-800.0,-375132.9520934867,-3.845985480723698,-131.30189906127816
2022-01-03 22:00:00,26526,455.430808,22,1,70,33.383928000000026,-1218.0,-398875.91573341656,9.377938633114127,-96.03718535037342
2022-01-03 23:00:00,24853,465.311556,23,1,71,9.880747999999983,-1673.0,-235900.79328222107,-9.504872369644715,15.077528550681336
2022-01-04 00:00:00,23348,408.563484,0,1,72,-56.74807199999998,-1505.0,9658.097449608147,-1.0911561730763424,6.725773745360584
2022-01-04 01:00:00,22359,425.453708,1,1,73,16.89022399999999,-989.0,323234.6361683421,32.00943063734195,62.38864646614229
2022-01-04 02:00:00,21822,411.302764,2,1,74,-14.150943999999981,-537.0,483963.3573350897,37.96394028418467,112.54165638234781
2022-01-04 03:00:00,21765,333.164694,3,1,75,-78.13807000000003,-57.0,157758.93617222458,-7.230127166404429,24.34667840666293
2022-01-04 04:00:00,21722,331.87585,4,1,76,-1.2888439999999832,-43.0,349044.5733773699,44.06197654947823,111.3496480723179
2022-01-04 05:00:00,22297,330.673676,5,1,77,-1.2021740000000136,575.0,536075.19927481,-1.5798019537609207,47.838273649894745
2022-01-04 06:00:00,23750,315.26878,6,1,78,-15.404896000000008,1453.0,295694.1453509778,-59.74682756113816,-424.43497573288073
2022-01-04 07:00:00,25555,314.86899800000003,7,1,79,-0.3997819999999592,1805.0,-113082.20387462154,4.7009279141160505,-108.66857691957318
2022-01-04 08:00:00,26227,623.450556,8,1,80,308.581558,672.0,-1359028.4625856206,-39.19600696076037,-108.24938845271379
2022-01-04 09:00:00,26183,1583.1168220000002,9,1,81,959.6662660000002,-44.0,-1107720.3071583407,-16.118341830859322,-121.81909462378826
2022-01-04 10:00:00,25526,2227.139084,10,1,82,644.0222619999997,-657.0,-350074.04906880343,-37.0357650275069,-108.74408619072597
2022-01-04 11:00:00,24303,2255.1834360000003,11,1,83,28.044352000000345,-1223.0,-173765.48717662878,13.218247794720924,-9.659254665811318
2022-01-04 12:00:00,23264,2150.2262140000003,12,1,84,-104.957222,-1039.0,59607.797025570646,20.2636317920157,36.426209379349984
2022-01-04 13:00:00,22958,2123.612218,13,1,85,-26.613996000000043,-306.0,196159.81436542748,1.9937077729757107,48.557068100548236
2022-01-04 14:00:00,22971,2048.853498,14,1,86,-74.75872000000027,13.0,287338.13422092237,-53.781308307559016,75.62465382860637
2022-01-04 15:00:00,23423,2007.690424,15,1,87,-41.16307400000005,452.0,881492.4293003483,66.37422210833626,139.141338740449
2022-01-04 16:00:00,24355,1580.577772,16,1,88,-427.1126519999998,932.0,1562667.0970817981,21.12149095782752,141.11480724735577
2022-01-04 17:00:00,26446,576.61703,17,1,89,-1003.9607420000001,2091.0,346658.79307379294,152.72969863561286,651.8916383562082
2022-01-04 18:00:00,28427,371.810402,18,1,90,-204.806628,1981.0,-607679.2452463619,-131.83437903478205,-122.10067648096651
2022-01-04 19:00:00,28490,475.236304,19,1,91,103.42590200000001,63.0,-810988.9042981099,-62.38875804089173,-164.5897763425112
2022-01-04 20:00:00,27997,470.928638,20,1,92,-4.30766600000004,-493.0,-345825.444990037,-11.573212495279677,-318.8093161365059
2022-01-04 21:00:00,27209,544.8393800000001,21,1,93,73.91074200000014,-788.0,-238722.47985279094,-4.549062073316634,-65.28209612524506
2022-01-04 22:00:00,26031,474.912836,22,1,94,-69.92654400000009,-1178.0,-296367.1298220111,7.925265195220788,-9.617850387260887
2022-01-04 23:00:00,24465,352.94892400000003,23,1,95,-121.963912,-1566.0,-199771.1642968855,-18.716219970563003,-21.359409521302496
2022-01-05 00:00:00,23065,290.16957399999995,0,1,96,-62.77935000000008,-1400.0,-4320.270932391752,9.142888340582687,42.47001682097721
