,ERCOT_Demand_MWh,ERCOT_VRE_MWh,Hour,Month,Time_Elapsed,delta_VRE,delta_Demand,delta_CO2,delta_NOx,delta_SO2
2022-01-06 09:00:00,47873.32225,21270.66,9,1,129,356.15000000000146,-391.7086750000017,-866994.6235013641,-870.2048349345641,-2641.76974166093
2022-01-06 10:00:00,47291.826825,21376.82,10,1,130,106.15999999999985,-581.495425000001,-445703.03730253875,290.3777836544741,-239.41458804539798
2022-01-06 11:00:00,46644.9209,21073.35,11,1,131,-303.47000000000116,-646.9059249999991,-577096.5085427277,-134.62023190346372,-1472.846141198319
2022-01-06 12:00:00,45897.93035,20378.88,12,1,132,-694.4699999999975,-746.990549999995,-544584.1789580584,-96.16356236289721,-176.84479572840792
2022-01-06 13:00:00,45413.339525,17545.07,13,1,133,-2833.8100000000013,-484.5908249999993,2417801.748711098,723.8910359883721,2593.5367605643223
2022-01-06 14:00:00,45091.9948,15085.559999999998,14,1,134,-2459.510000000002,-321.34472500000265,2055357.5968921818,1002.7842593363603,994.9309533081396
2022-01-06 15:00:00,45589.126325000005,13742.450000000004,15,1,135,-1343.1099999999933,497.13152500000433,790092.0745898224,-308.95043332448586,-1726.5148915899154
2022-01-06 16:00:00,47210.59085,11171.23,16,1,136,-2571.220000000005,1621.4645249999958,2731288.785856046,647.6294503789832,4031.9615143133524
2022-01-06 17:00:00,50292.3301,7157.3600000000015,17,1,137,-4013.869999999998,3081.7392499999987,5188836.882696524,870.2867777293377,7106.608098625926
2022-01-06 18:00:00,51087.171875,7334.73,18,1,138,177.36999999999807,794.8417750000008,2612591.436128825,2183.4358977529882,646.0349630839628
2022-01-06 19:00:00,51137.685225,8786.8,19,1,139,1452.0699999999997,50.51335000000108,-349967.9096307084,-184.8129045918904,-571.322968226079
2022-01-06 20:00:00,50628.701825,9564.7,20,1,140,777.9000000000015,-508.9834000000046,-357154.43794169277,-516.8262410693169,-748.0400563924741
2022-01-06 21:00:00,49215.332,10052.55,21,1,141,487.84999999999854,-1413.3698249999943,-1130691.328586772,-1283.0892740597228,-1088.7522441527726
2022-01-06 22:00:00,47773.270525,9777.08,22,1,142,-275.46999999999935,-1442.0614750000022,-1243498.8171949834,-194.91756329152486,-2724.133140302114
2022-01-06 23:00:00,46871.347,9565.31,23,1,143,-211.77000000000044,-901.9235249999983,-861337.5674132556,-322.8503509523125,-2241.418552355746
2022-01-07 00:00:00,46514.357425,9242.48,0,1,144,-322.8299999999999,-356.9895749999996,-559527.7180522159,195.44286946209832,-949.8592703419854
2022-01-07 01:00:00,46612.75195,9096.59,1,1,145,-145.88999999999942,98.39452499999607,-151312.00329429656,-286.512354155544,522.5068455176624
2022-01-07 02:00:00,47205.793625,8978.64,2,1,146,-117.95000000000073,593.0416750000004,-14421.717366665602,199.01975033370582,-485.4795347166764
2022-01-07 03:00:00,48311.8942,8611.33,3,1,147,-367.3099999999995,1106.100575000004,1794278.4102053717,1481.0846487646158,420.5047711770894
2022-01-07 04:00:00,50596.213225,8664.78,4,1,148,53.45000000000073,2284.319024999997,913963.8977437839,467.12855491470873,1104.3843420432895
2022-01-07 05:00:00,54132.758775,8951.720000000001,5,1,149,286.9400000000005,3536.5455500000025,2184747.462243609,-64.12985112955357,-739.7927117380532
2022-01-07 06:00:00,56575.1048,8880.97,6,1,150,-70.75000000000182,2442.346024999999,1929656.9017180651,1169.520474705876,-852.5626568924199
2022-01-07 07:00:00,56831.679,8910.6,7,1,151,29.63000000000102,256.57419999999547,1365006.6883754358,2876.0632320911864,-288.245522364301
2022-01-07 08:00:00,55948.350275,9922.05,8,1,152,1011.4499999999989,-883.3287249999994,-221805.3824026361,-425.2802625929944,1734.8773714245071
2022-01-07 09:00:00,54532.676125,12004.86,9,1,153,2082.8100000000013,-1415.674149999999,-2414833.8354734257,-2548.4595368548617,-375.3518696076717
2022-01-07 10:00:00,52791.564125,12467.44,10,1,154,462.5799999999999,-1741.112000000001,-1935195.8330296203,-437.48807728766405,-463.6459719693885
2022-01-07 11:00:00,50873.1439,13089.93,11,1,155,622.4899999999998,-1918.4202249999944,-1680800.9920661896,-374.2272628772989,1370.822835914103
2022-01-07 12:00:00,49449.0921,14462.97,12,1,156,1373.039999999999,-1424.051800000001,-2638784.91620034,-880.0727999945811,326.5567208283064
2022-01-07 13:00:00,48443.0954,15978.14,13,1,157,1515.17,-1005.9967000000033,-1802397.3732762933,-898.7174176860335,612.7843183390032
2022-01-07 14:00:00,48390.508775,17039.86,14,1,158,1061.7200000000012,-52.586624999996275,-1975514.8485121876,-223.46421418528735,248.91293133922227
2022-01-07 15:00:00,48951.839525,17938.909999999996,15,1,159,899.0499999999956,561.330750000001,-454370.56043154746,-424.4145401997357,-56.44946022046497
2022-01-07 16:00:00,49675.002275,17713.9,16,1,160,-225.00999999999476,723.1627499999959,896254.9796732515,483.75548206768144,-1440.4204815675766
2022-01-07 17:00:00,51033.36785,15091.579999999998,17,1,161,-2622.3200000000033,1358.3655750000034,2780086.2449469566,1780.1842658927599,185.31694189001064
